station code,station name,state name,district name,block name,basin name,LEAD mg L ,ALKALINITY PHENOLPHTHALEIN mg L ,TOTAL ALKALINITY,ARSENIC mg l ,COPPER,CADMIUM,CHROMIUM mg L ,NICKEL mg L ,IRON mg L ,BORON mg L ,BIOCHEMICAL OXYGEN DEMAND mg L ,CALCIUM mg L ,CHLORIDE,CARBONATE mg L ,CHEMICAL OXYGEN DEMAND,DISSOLVED OXYGEN mg L ,ALKALINITY TOTAL ,DISSOLVED OXYGEN SATURATION ,ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY miu S CM  at 25,FLUORIDE,FECAL COLIFORMS mpn 100ml ,CALCIUM HARDNESS mg L ,TOTAL HARDNESS mg L ,BICARBONATE mg L ,POTASSIUM mg L ,MAGNESIUM mg L ,SODIUM,PERCENT SODIUM,AMMONIA N mg L ,NITROGEN  TOTAL OXIDISED NO2 NO3 ,no3 n,o po4 p,PH,PHOSPHORUS TOTAL ,SODIUM ABSORPTION RATIO,SECCHI DEPTH,SILICATE sio2  mg L ,SULPHATE mg L ,TOTAL COLIFORNS MPN 100ml ,TOTAL DISSOLVED SOLIDS mg L ,TEMPERATURE,TURBIDITY NTU ,NITROGEN NITRITE
018-mgd3vns,MAIGHAT,Uttar Pradesh,JAUNPUR,Jaunpur ,Ganga Basin,8,0,168,14,NULL,12,7,5,0.0196,0.036,3.2,34.62,40,0,13.2,7.35,NULL,97.2351,400,394,0.31,1200,NULL,186.592,204.96,10,24.01,34,27.1953,0.05,0.2124,0.2124,NULL,8.3,0.1024,1.08682,86.55,8.42,26,2600,226,30,NULL,0
019-LYDAGRA,PRATAPPUR,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,2.85,0,85,1.5,10.35,0.26,13.91,20.39,NULL,0.18,5.8,24,15.6,0,9.3,NULL,6.8,83,NULL,NULL,0.19,790,60,88,103,3.1,6.8,19.1,31,0.56,1.29,1.26,NULL,8,0.02,0.9,NULL,NULL,10.1,1700,80,24,1124,0.03
019-LYDAGRA,PRATAPPUR,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,0.83,0,214,1.24,5.48,0.04,9.26,8.02,NULL,0.11,0.8,50,105.4,0,5.6,NULL,7.5,91,NULL,NULL,0.38,11000,126,226,261,5.5,24.1,89.9,46,0.14,4.76,4.76,NULL,8.1,0.2,2.6,NULL,NULL,59,22000,524,20,14,0
019-LYDAGRA,PRATAPPUR,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,0.72,24.25,121,2.69,3.4,0.1,2.21,4.25,0.09,0.28,1.86,37,74.9,24.3,10.4,NULL,6.01,NULL,NULL,715,0.38,NULL,92,234,196,3.5,34,76.1,41,0.04,1.2,1.2,0.21,8.6,0.21,1.7,NULL,NULL,52,NULL,465,23,NULL,NULL
019-LYDAGRA,PRATAPPUR,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,0.92,8.5,173,1.33,5.57,0.13,9.35,8.11,NULL,0.14,3.1,35,86.3,10.2,14.8,NULL,7.1,86,NULL,NULL,0.36,2100,88,189,190,7.2,24.3,76.3,46,1.42,1.33,1.3,NULL,8.8,0.17,2.4,NULL,4,44.4,2400,458,23,20,0.03
019-LYDAGRA,PRATAPPUR,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,0.06,0,28.33,3.59,1.29,0.08,20.95,1.43,0.07,0.18,1.63,26,17.8,0,14.4,NULL,5.62,NULL,NULL,144,0.42,NULL,64,80,34,3.1,3.9,12.9,25,0,0.9,0.9,0.02,7,NULL,0.6,64,NULL,1.5,NULL,94,29,NULL,NULL
019-MGD1LKN,Bansi,Uttar Pradesh,SIDDHARTH NAGAR,BANSI,Ganga Basin,1,0,176,1,1,1,2,1,1,0.18,1.57,43,9.94,0,8,6.86,NULL,81.492,NULL,300,0.304,NULL,NULL,193.562,214.72,4.692,20.655,6.44,6.59783,0.30888,0.558572,0.434372,0.351356,8.25,NULL,0.202016,107.5,NULL,16.8,NULL,192,24,NULL,0.1242
019-MGD3VNS,AKBARPUR,Uttar Pradesh,AMBEDKAR NAGAR,AKBARPUR,Ganga Basin,1.15,0,110.63,1.29,1.59,0.07,5.9,0.23,0.05,0.03,2.46,29.4,17.62,0,17.4,6.33,NULL,NULL,270,268,0.23,8100,73.5,106.74,110.63,3.6,8.08,10.49,NULL,0.07,4.77,4.73,NULL,8.02,0.05,NULL,NULL,5.21,11.3,13000,164,32,4.5,0.04
019-MGD3VNS,AKBARPUR,Uttar Pradesh,AMBEDKAR NAGAR,AKBARPUR,Ganga Basin,0.67,0,300.73,1.49,2.59,0.05,7.5,2.61,0.11,0.1,3.24,50.59,29.87,0,19.3,5.92,NULL,NULL,470,466,0.33,6800,126.47,249.8,300.73,5.29,29.97,31.91,NULL,0.03,0.98,0.94,NULL,8.08,0.02,NULL,NULL,3.02,20.7,10000,284,21,0.2,0.04
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,15,0,132,10,NULL,4,5,14,0.036,0.038,2.35,36.23,16,0,16.6,7.64,NULL,94.1698,250,240,0.384,500,NULL,154.033,161.04,7,15.23,10,11.8351,0,0.308264,0.308264,0,8.2,0.024,0.351582,90.575,8.66,16,1800,145,26,0.2,0
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,13,0,96,8,NULL,3,3,10,0.346,0.024,3.06,33.98,24,0,11.2,7.16,NULL,85.0558,250,236,0.38,300,NULL,154.908,117.12,5,16.79,8,9.7933,0.05,0.273,0.258,NULL,8.1,0.001,0.28053,84.95,9.2,14,1600,132,24,NULL,0.015
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,8,9.96,97.5984,8,NULL,2,3,13,0.04,0.028,3.06,37.03,20,12,11.2,7.16,NULL,88.2534,250,244,0.416,200,NULL,166.2,94.67,8,17.67,14,14.7966,0.05,0.376,0.376,NULL,8.3,0.001,0.473935,92.575,8.66,14,700,174,26,NULL,0
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,14,19.92,94.0984,9,NULL,2,2,12,0.04,0.028,2.46,38.31,20,24,8.1,7.06,NULL,90.2006,210,195,0.416,200,NULL,162.483,66,9,16.01,14,14.968,0.05,0.382,0.382,NULL,8.68,0.001,0.479241,95.775,8.48,14,700,99,28,0.1,0
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,0.66,0,138.05,0.59,2.18,0.11,4.29,0.3,0.02,0.32,2.22,30.89,20.11,0,14.4,6.27,NULL,NULL,220,214,0.28,6000,77.22,125.29,138.05,2,11.68,11.71,NULL,0.06,1.82,1.8,NULL,8.13,0.03,NULL,NULL,5.72,15.3,9100,129,22,0.5,0.02
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,0.34,0,144.81,0.89,1.33,0.09,23.64,1,0.05,0.03,2.53,18.77,23.96,0,19.4,6.81,NULL,NULL,290,286,0.33,8200,46.92,128.25,144.81,2.09,19.76,13.26,NULL,0.04,1.11,1.08,NULL,8.24,0.06,NULL,NULL,4.12,27.8,12000,183,31.75,1.9,0.03
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,0.4,10.23,98.82,NULL,4.64,0.04,3.05,0.81,0.05,0.03,2.97,29.83,19.22,10.23,27.2,6.79,NULL,NULL,320,308,0.36,9200,74.57,95.44,88.59,1.32,5.07,10.24,NULL,0.04,3.31,3.28,NULL,7.9,0.06,NULL,NULL,6.48,19.8,12000,186,31.75,1.2,0.03
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,0.6,0,140.8,NULL,2.44,0.06,1,1.29,0.04,0.03,2.97,32.97,17.93,0,27.7,6.9,NULL,NULL,300,290,0.37,9100,82.42,114.33,140.8,2.23,7.76,9.34,NULL,0.04,0.21,0.19,NULL,8.29,0.07,NULL,NULL,7.42,22.8,11000,157,30,0.2,0.02
021-MGD3VNS,MEJA ROAD,Uttar Pradesh,PRAYGRAJ,MEJA,Ganga Basin,NULL,0,136,9,NULL,2.5,7.5,6,0.22,0.024,2.35,33.66,15,0,8.2,7.06,NULL,85.4411,240,235,0.22,700,NULL,141.067,165.92,5,13.66,10,12.9199,0,0.256,0.256,NULL,7.89,0.016,0.367368,84.15,7.4,14,2000,142,25,0.8,0
022-MGD1LKN,Regauli,Uttar Pradesh,GORAKHPUR,Campierganj,Ganga Basin,1,0,184,1,1,1,2,1,1,0.19,1.37,44.8,12.07,0,8,6.86,NULL,79.972,NULL,330,0.323,NULL,NULL,206.669,224.48,4.692,22.7205,6.9,6.63203,0.33696,0.530972,0.434372,0.36169,8.19,NULL,0.209485,112,NULL,16.8,NULL,200,23,NULL,0.0966
023-LYDAGRA,AGRA POIYAGHAT ,Uttar Pradesh,AGRA,AGRA,Ganga Basin,0.56,17.18,94.5,NULL,3.48,0.08,17.24,3.05,0,0.11,21,45,80.2,0,14.4,3.2,3.2,43.1,NULL,613,0.61,NULL,112,169,73,9,13.6,56.1,40.51,3.09,0.27,0.27,0.42,6.8,NULL,1.88,0,NULL,60.6,NULL,398,31.5,NULL,NULL
023-LYDAGRA,AGRA POIYAGHAT ,Uttar Pradesh,AGRA,AGRA,Ganga Basin,0.4,0,320,NULL,12.33,0.23,2.71,30.72,0.2,0.24,24,61,285.8,0,33.3,NULL,2.2,28,NULL,1743,1.01,NULL,152,359,384,21.1,49.6,184.7,NULL,9.87,0.67,0.67,1.62,8,1.62,NULL,NULL,NULL,97.9,NULL,1133,27,NULL,NULL
023-LYDAGRA,AGRA POIYAGHAT ,Uttar Pradesh,AGRA,AGRA,Ganga Basin,1.58,0,298,6.31,8.01,0.09,11.04,9.46,NULL,0.14,29.4,70,210.9,0,55.6,NULL,4.4,53,NULL,1359,0.57,170000,167,291,363,16.4,27.7,160.5,50,11.67,4.76,4.48,1.24,7.8,1.24,3.5,NULL,NULL,116.2,220000,856,15,NULL,0.28
023-LYDAGRA,AGRA POIYAGHAT ,Uttar Pradesh,AGRA,AGRA,Ganga Basin,2.26,0,298,1.12,2.67,0.01,3.55,6.29,NULL,0.16,15,58,191.7,0,44.4,NULL,1,12,NULL,1370,0.42,170000,144,282,364,18.8,32,138.3,50,82.99,3.68,2.8,1.24,7.9,1.21,3.6,NULL,8.5,74.2,350000,863,22,NULL,0.88
023-LYDAGRA,AGRA POIYAGHAT ,Uttar Pradesh,AGRA,AGRA,Ganga Basin,1.65,18.25,312.33,NULL,3.52,0.03,0.41,5.72,0.08,0.39,16.5,51,257,21.9,27,4.1,1.1,45.09,NULL,1590,0.59,NULL,128,351,331,14.5,53.5,275.1,62.03,5.74,1.96,1.96,1.72,8.5,NULL,6.42,0,NULL,135.9,NULL,NULL,20,NULL,NULL
023-MGD1LKN,Birdghat,Uttar Pradesh,GORAKHPUR,Gorakhpur,Ganga Basin,1,0,216,1,1,1,2,1,1,0.2,2.94,53.4,24.14,0,14,6.27,NULL,70.3309,NULL,430,0.361,NULL,NULL,240.825,263.52,6.647,25.758,14.49,11.2856,0.33696,0.503372,0.434372,0.382358,7.88,NULL,0.407502,133.5,NULL,17.76,NULL,280,21,NULL,0.069
024-LYDAGRA,RAJGHAT,Uttar Pradesh,LALITPUR,LALITPUR,Ganga Basin,0.83,0,90,0.84,8.78,0.2,16.28,1.97,NULL,0.14,6.6,26,13.5,0,13,NULL,8.3,93,NULL,NULL,0.19,1100,64,84,110,2.3,4.9,14.7,27,0.42,0.88,0.84,NULL,7.9,0.02,0.7,NULL,NULL,1.9,1400,65,21,72,0.04
024-LYDAGRA,RAJGHAT,Uttar Pradesh,LALITPUR,LALITPUR,Ganga Basin,0.78,0,117,1.75,4.48,0.01,7.69,2.22,NULL,0.04,1.3,29,13.8,0,7.4,NULL,7.7,85,NULL,NULL,0.19,110,72,115,143,2.3,10.2,12.9,19,0,0.29,0.28,NULL,8.2,0.03,0.5,NULL,NULL,10.1,140,162,20.5,NULL,0.01
024-LYDAGRA,RAJGHAT,Uttar Pradesh,LALITPUR,LALITPUR,Ganga Basin,2.2,0,139,0.87,1.99,0.03,1.54,4.39,NULL,0.04,3.4,27,13.4,0,14.8,NULL,6,68,NULL,NULL,0.17,490,68,129,169,2.2,14.6,12.7,18,0.66,0.28,0.22,NULL,8,0.05,0.5,NULL,6.5,2.6,1100,190,22.5,4,0.06
024-LYDAGRA,RAJGHAT,Uttar Pradesh,LALITPUR,LALITPUR,Ganga Basin,0.22,10.5,123.5,3.45,1.71,0.05,1.17,2.08,0.06,0.14,3.8,35,13.5,12.6,14.6,9.3,4.78,NULL,NULL,1840,0.59,NULL,88,129,123,2.7,9.7,7.4,11,0,0.05,0.04,0.02,8.5,NULL,0.3,88,NULL,2,NULL,1196,25,NULL,0.01
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,4.8,13.28,122.568,9,NULL,1,6,1.8,0.3,0.04,2.9,36,22,16,6.9,6.6,NULL,81.3509,180,177,0.5,200,NULL,155.833,117,6,15.8,14,15.7798,0.05,0.31,0.31,NULL,8.89,0.001,0.489391,90,8.8,25,900,108,26,0.1,0
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,9.8,9.96,116,13,NULL,2.1,9,2,0.252,0.036,2.86,28.53,22,12,12.6,7.44,NULL,88.4635,256,250,0.316,400,NULL,136.408,117.12,6,15.62,9,12.0304,0.05,0.216,0.216,NULL,8.3,0.001,0.336363,71.325,8.24,22,1200,140,24.5,0.1,0
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,4,0,120,9,NULL,3,10,3,0.044,0.038,2.35,35.91,30,0,15.2,8.82,NULL,104.775,390,380,0.422,400,NULL,157.275,146.4,9,16.2,18,18.9198,0,0.378324,0.378324,0,7.82,0.026,0.626349,89.775,9.34,28,1600,230,24,0.2,0
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,3.5,0,116,8,NULL,3,7,2.5,0.033,0.031,5.48,36.12,22,0,27,3.72,NULL,46.6867,390,395,0.232,1200,NULL,150.508,141.52,9,14.45,13,14.9307,0.05,0.2,0.2,NULL,8.01,0.022,0.462348,90.3,8.4,24,2500,229,27,0.1,0
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,4,19.92,140,1,NULL,0.05,2,1,0.258,0.034,3.16,27.25,30,24,7.8,8.56,NULL,105.51,225,219,0.446,200,NULL,143.75,122,9,18.15,15,17.4638,0.05,0.28,0.28,NULL,8.49,0.001,0.546244,68.125,8.62,24,800,109,26,0.1,0
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,0.32,0,144.06,NULL,2.26,0.07,0.7,0.56,0.07,0.02,2.55,26.5,24.43,0,24.5,6.92,NULL,NULL,300,290,0.42,6100,66.25,99.38,144.06,1.5,8.05,20.86,NULL,0.09,0.18,0.16,NULL,8.05,0.05,NULL,NULL,6.13,15.5,9200,162,25,0.8,0.02
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,0.62,0,98.24,NULL,1.68,0.08,0.48,6.15,0.06,0.03,2.63,17.81,27.52,0,25.2,6.85,NULL,NULL,290,286,0.41,6100,44.52,77.22,98.24,1.44,7.95,14.18,NULL,0.09,0.83,0.81,NULL,7.62,0.04,NULL,NULL,5.41,10,10000,170,29.5,7.6,0.02
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,1.69,0,137.12,0.82,2.6,0.1,6.21,4.43,0.02,0.01,2.72,28.05,20.71,0,15.3,7.32,NULL,NULL,140,135,0.27,4000,70.12,154.05,137.12,1.61,20.39,12.31,NULL,0.02,0.72,0.7,NULL,8.18,0.02,NULL,NULL,3.64,8.9,6100,79,18,2,0.02
025-MGD3VNS,DUDHHI,Uttar Pradesh,SONBHADRA,DUDHI,Ganga Basin,1,19.92,140,3,NULL,0.12,5,1,0.252,0.032,3.08,27.89,30,24,10.6,7.12,NULL,83.0805,235,228,0.434,200,NULL,140.475,122,8,16.98,15,17.8945,0.05,0.268,0.268,NULL,8.1,0.001,0.552509,69.725,8.62,23,800,160,23.5,0.1,0
026-MGD1LKN,Basti,Uttar Pradesh,BASTI,BASTI,Ganga Basin,1,0,212,1,1,1,2,1,1,0.2,2.55,49.8,22.01,0,12,6.08,NULL,66.872,NULL,410,0.342,NULL,NULL,231.825,258.64,6.256,25.758,13.57,11.0224,0.351,0.531184,0.448384,0.372024,8.15,NULL,0.389002,124.5,NULL,1.728,NULL,260,20,NULL,0.0828
051-MGD3VNS,Shastri Bridge,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,4.64,0,173.37,0.7,0.21,0.04,3.75,64.62,0.03,0.02,3.1,57.21,33.05,0,21.3,7.22,NULL,NULL,260,272,0.27,9100,143.03,156.82,173.37,5.06,3.16,20.55,NULL,0.06,1.53,1.46,NULL,7.82,0.03,NULL,NULL,3.39,29.3,12000,174,22.1,0.7,0.07
051-MGD3VNS,Shastri Bridge,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,0.17,0,142.66,NULL,2.38,0.04,1.08,1.17,0.07,0.03,3.79,31.84,20.69,0,35.2,6.9,NULL,NULL,300,292,0.31,9300,79.6,103.83,142.66,5.89,5.89,15.24,NULL,0.06,0.74,0.68,NULL,7.67,0.02,NULL,NULL,4.34,26.6,14000,166,32,1.2,0.06
051-MGD3VNS,Shastri Bridge,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,0.56,0,115.71,NULL,2.01,0.09,2.58,3.59,0.05,0.05,3.76,33.68,22.75,0,34.8,6.81,NULL,NULL,250,245,0.31,10000,84.2,97.84,115.71,2.32,3.31,12.89,NULL,0.07,0.8,0.75,NULL,7.63,0.07,NULL,NULL,5.92,24.4,15000,132,32,4.8,0.05
051-MGD3VNS,Shastri Bridge,Uttar Pradesh,PRAYGRAJ,PRAYGRAJ,Ganga Basin,1.25,0,128.67,0.7,2.74,0.02,9.15,1.01,0.07,0.04,2.98,31.44,24.55,0,24.2,6.41,NULL,NULL,270,266,0.26,11000,78.6,122.38,128.67,4.84,10.64,13.74,NULL,0.08,1.51,1.42,NULL,7.52,0.03,NULL,NULL,6.48,26.3,15000,161,31,5.1,0.09
052-MGD3VNS,V S Bridge,Uttar Pradesh,VARANASI,VARANASI,Ganga Basin,0.63,0,165.23,1.57,2.96,0.02,17.92,0.04,0.06,0.04,2.82,19.55,37.22,0,23.1,6.57,NULL,NULL,310,308,0.26,9100,48.87,129.42,165.23,5,19.57,31.48,NULL,0.07,0.93,0.9,NULL,8.16,0.05,NULL,NULL,10.21,34.4,13000,198,28.1,2.9,0.03
052-MGD3VNS,V S Bridge,Uttar Pradesh,VARANASI,VARANASI,Ganga Basin,0.42,0,161.81,NULL,2.44,0.1,2.88,0.43,0.06,0.05,3.38,29.51,37.65,0,31.4,6.65,NULL,NULL,400,392,0.31,9300,73.77,127.12,161.81,2.96,12.96,33.03,NULL,0.07,0.7,0.67,NULL,8.02,0.04,NULL,NULL,6.35,33.2,15000,228,32,3.8,0.03
052-MGD3VNS,V S Bridge,Uttar Pradesh,VARANASI,VARANASI,Ganga Basin,0.17,0,171.94,NULL,2.44,0.04,3.26,1.99,0.07,0.05,3.31,29.9,41.96,0,30.3,6.71,NULL,NULL,430,424,0.32,9300,74.75,107.06,171.94,3.37,7.85,38.75,NULL,0.08,0.5,0.5,NULL,7.95,0.04,NULL,NULL,4.16,34.5,13000,232,31,0.4,0
052-MGD3VNS,V S Bridge,Uttar Pradesh,VARANASI,VARANASI,Ganga Basin,0.19,0,203.58,1.35,5.09,0.1,3.49,1.84,0.04,0.03,2.89,43.02,46.39,0,13.3,7.06,NULL,NULL,320,324,0.3,10000,107.55,159.98,203.58,4.51,12.54,36.93,NULL,0.05,1.64,1.6,NULL,8.12,0.03,NULL,NULL,5.64,26.7,15000,213,26,1.1,0.04
053-MGD3VNS,Baluaghat,Uttar Pradesh,VARANASI,VARANASI,Ganga Basin,0.18,0,207.3,0.72,2.64,0.09,22.41,8.29,0.03,0.02,3.01,48.86,45.2,0,22.3,6.94,NULL,NULL,350,360,0.31,11000,122.15,143.42,207.3,4.73,5.17,38.27,NULL,0.04,1.4,1.37,NULL,8.1,0.03,NULL,NULL,5.78,27,15000,235,26.8,0.8,0.03
053-MGD3VNS,Baluaghat,Uttar Pradesh,VARANASI,VARANASI,Ganga Basin,0.92,0,155.73,0.54,2.47,0.02,13.07,0.84,0.06,0.03,3.5,26.59,29.7,0,28.2,6.85,NULL,NULL,360,358,0.28,14000,66.48,121.21,155.73,4.63,13.3,26.53,NULL,0.08,1.15,1.11,NULL,8.24,0.04,NULL,NULL,5.12,35.2,22000,226,28.5,2.3,0.04
053-MGD3VNS,Baluaghat,Uttar Pradesh,VARANASI,VARANASI,Ganga Basin,0.4,0,159.55,NULL,1.81,0.07,1.29,0.74,0.07,0.04,3.44,33.52,43.73,0,33.5,6.38,NULL,NULL,390,386,0.32,20000,83.8,121.9,159.55,3.17,9.26,31.99,NULL,0.08,1.02,0.98,NULL,8.02,0.04,NULL,NULL,5.67,33.7,31000,228,32,2.5,0.04
053-MGD3VNS,Baluaghat,Uttar Pradesh,VARANASI,VARANASI,Ganga Basin,0.77,0,150.56,NULL,3.74,0.05,1.95,2.78,0.07,0.04,3.42,29.09,42.75,0,32.2,6.48,NULL,NULL,480,474,0.33,17000,72.73,130.09,150.56,3.61,13.94,42.45,NULL,0.08,0.54,0.52,NULL,8.02,0.04,NULL,NULL,5.21,37.2,24000,293,31,0.5,0.02
054-MGD3VNS,Ghazipur  Veer Abdul Hamid Bridge ,Uttar Pradesh,GHAZIPUR,GHAZIPUR,Ganga Basin,2.05,0,153.36,1.54,2.83,0.02,70.7,1.35,0.06,0.03,2.92,25.65,37.62,0,18.2,6.63,NULL,NULL,410,401,0.25,11000,64.12,127.86,153.36,4.93,15.49,30.27,NULL,0.08,1.33,1.31,NULL,8.29,0.04,NULL,NULL,7.41,30.5,17000,256,28.2,2.9,0.02
054-MGD3VNS,Ghazipur  Veer Abdul Hamid Bridge ,Uttar Pradesh,GHAZIPUR,GHAZIPUR,Ganga Basin,0.49,0,167.69,NULL,1.78,0.06,1.77,0.28,0.06,0.03,3.94,27.27,39.61,0,36.8,6.77,NULL,NULL,410,405,0.29,15000,68.17,134.74,167.69,2.97,16.18,35.58,NULL,0.08,0.94,0.92,NULL,8.25,0.05,NULL,NULL,6.78,31.1,26000,238,33,2.2,0.02
054-MGD3VNS,Ghazipur  Veer Abdul Hamid Bridge ,Uttar Pradesh,GHAZIPUR,GHAZIPUR,Ganga Basin,0.45,10.97,167.57,NULL,2.31,0.02,1.09,2.75,0.07,0.02,4.18,32.8,40.39,10.97,37.3,6.88,NULL,NULL,470,465,0.31,15000,82,132.92,156.6,3.7,12.37,39.26,NULL,0.08,0.76,0.74,NULL,7.99,0.04,NULL,NULL,6.55,35.4,23000,304,31,0.7,0.02
054-MGD3VNS,Ghazipur  Veer Abdul Hamid Bridge ,Uttar Pradesh,GHAZIPUR,GHAZIPUR,Ganga Basin,0.15,0,206.84,0.88,10.25,0.09,4.24,33.49,0.03,0.04,3.25,51.85,45.99,0,15.8,6.65,NULL,NULL,340,349,0.27,9200,129.62,166.27,206.84,4.83,8.9,39.85,NULL,0.02,1.69,1.65,NULL,8.04,0.06,NULL,NULL,7.12,27.2,12000,230,25.8,1,0.04
055-MGD3VNS,Jaunpur  MG Marg Bridge ,Uttar Pradesh,JAUNPUR,Jaunpur ,Ganga Basin,0.25,36.58,359.62,0.01,1.09,0.08,4.85,2.19,0.05,0.07,2.81,106.22,70.48,36.58,13.3,6.47,NULL,NULL,550,541,0.28,9100,265.55,275.8,323.04,7.43,2.49,60.69,NULL,0.05,3.17,3.14,NULL,8.88,0.06,NULL,NULL,4.26,26.2,13000,342,26,0.7,0.03
055-MGD3VNS,Jaunpur  MG Marg Bridge ,Uttar Pradesh,JAUNPUR,Jaunpur ,Ganga Basin,1.17,0,172.83,1.49,2.15,0.11,70.81,0.04,0.08,0.04,3.16,31.91,19.8,0,23.4,6.43,NULL,NULL,350,346,0.3,14000,79.77,125.12,172.83,5.21,11.02,18.46,NULL,0.07,3.64,3.62,NULL,8.14,0.05,NULL,NULL,6.6,17.8,21000,219,29.5,3.1,0.02
055-MGD3VNS,Jaunpur  MG Marg Bridge ,Uttar Pradesh,JAUNPUR,Jaunpur ,Ganga Basin,0.38,15.12,247.01,NULL,1.41,0.43,2.3,0.23,0.09,0.05,3.56,36.57,54.12,15.12,33.4,6.55,NULL,NULL,600,590,0.35,10000,91.42,197.69,231.87,4.69,25.82,51.54,NULL,0.08,0.84,0.82,NULL,8.63,0.05,NULL,NULL,7.43,41.5,15000,355,32.5,4.2,0.02
055-MGD3VNS,Jaunpur  MG Marg Bridge ,Uttar Pradesh,JAUNPUR,Jaunpur ,Ganga Basin,0.21,47.53,213.89,NULL,1.49,0.29,0.44,1.43,0.09,0.05,3.75,60.92,48.66,47.53,36.3,6.61,NULL,NULL,580,571,0.36,12000,153.2,198.36,166.36,4.3,11.19,46.54,NULL,0.08,1.25,1.23,NULL,9.05,0.06,NULL,NULL,6.92,32.5,20000,309,30,1.1,0.02
35-MGD3VNS,SAIDPUR,Uttar Pradesh,GHAZIPUR,SAIDPUR,Ganga Basin,0.76,0,150.99,0.67,2.02,0.04,7.68,0.1,0.07,0.04,2.98,29.4,26.73,0,21.2,6.25,NULL,NULL,360,352,0.26,8100,73.5,115.74,150.99,4.57,10.26,26.29,NULL,0.07,1.47,1.42,NULL,8.22,0.02,NULL,NULL,6.36,37.6,15000,228,28.4,1.9,0.05
35-MGD3VNS,SAIDPUR,Uttar Pradesh,GHAZIPUR,SAIDPUR,Ganga Basin,0.21,0,184.41,NULL,2.26,0.1,2.32,1.96,0.08,0.04,3.48,42.99,41.57,0,32.7,6.28,NULL,NULL,440,438,0.3,14000,107.47,132.73,184.41,2.9,6.14,32.74,NULL,0.08,1,0.95,NULL,8.36,0.03,NULL,NULL,6.68,34.8,21000,264,33,2.7,0.05
35-MGD3VNS,SAIDPUR,Uttar Pradesh,GHAZIPUR,SAIDPUR,Ganga Basin,0.18,17.82,171.17,NULL,2.19,0.08,2.24,5.96,0.08,0.04,3.56,30.54,45.7,17.82,33.1,6.44,NULL,NULL,500,489,0.31,12000,76.35,145.04,153.35,3.58,16.69,42.08,NULL,0.07,0.66,0.62,NULL,8.42,0.04,NULL,NULL,4.73,35.7,17000,284,31.5,0.7,0.04
35-MGD3VNS,SAIDPUR,Uttar Pradesh,GHAZIPUR,SAIDPUR,Ganga Basin,0.18,0,203.12,0.91,5.23,0.08,6.1,8.29,0.02,0.03,2.99,42.55,46.19,0,23.7,6.74,NULL,NULL,350,361,0.25,9100,106.37,159.57,203.12,4.77,12.93,40.14,NULL,0.05,1.62,1.57,NULL,8.28,0.04,NULL,NULL,6.23,31.3,12000,240,26.2,0.9,0.05
GYI00A3,KORA-OLD,Uttar Pradesh,FATEHPUR,Fatehpur,Ganga Basin,1.12,8.5,270,2.14,8.5,0.01,1.84,4.58,NULL,0.04,2.3,33,16,10.2,7.4,NULL,7.7,78,NULL,582,0.57,220,84,187,309,7,24.9,58.4,39,0,0.84,0.7,NULL,8.3,0.05,1.9,NULL,NULL,16.3,260,367,16.5,7,0.14
GYI00A3,KORA-OLD,Uttar Pradesh,FATEHPUR,Fatehpur,Ganga Basin,0.63,0,75,1.28,2.47,0.2,2.97,4.62,NULL,0.22,7.8,14,7.8,0,14.8,NULL,6.5,80,NULL,77,0.19,78,36,48,91,3.9,2.9,18.6,43,0.42,0.65,0.56,NULL,8,0.04,1.2,NULL,NULL,7.7,110,49,26,750,0.09
